geneID,geneID2,base_mean,coeff_log2,coeff_natural,pvalue,qval,FDR,gene_symbol
ENSG00000198087,ENSG00000198087.7,5.312921767,0.006305777,1.004380398,5.66E-07,0.000126135,0.000522962,CD2AP
ENSG00000253115,ENSG00000253115.1,-0.75192521,0.011209604,1.00780017,5.37E-07,0.000121028,0.000522962,
ENSG00000049759,ENSG00000049759.17,3.828181814,0.009531944,1.006628915,6.08E-07,0.000133127,0.000540977,NEDD4L
ENSG00000154734,ENSG00000154734.14,3.19963297,-0.012081562,0.991660666,6.00E-07,0.000131802,0.000540977,ADAMTS1
ENSG00000163082,ENSG00000163082.9,0.321997161,0.010692132,1.007438752,5.80E-07,0.000128408,0.000540977,SGPP2
ENSG00000085491,ENSG00000085491.15,5.785401159,0.004571281,1.003173596,6.19E-07,0.000134855,0.00065049,SLC25A24
ENSG00000108861,ENSG00000108861.8,5.786003819,0.005631746,1.003911258,6.78E-07,0.000144867,0.00065049,DUSP3
ENSG00000196581,ENSG00000196581.10,0.930109279,-0.014611191,0.989923406,6.40E-07,0.00013844,0.00065049,AJAP1
ENSG00000250722,ENSG00000250722.5,-0.007081582,0.011447069,1.007966065,6.67E-07,0.000143023,0.00065049,SELENOP
ENSG00000088325,ENSG00000088325.15,1.802347232,0.009922083,1.006901168,7.43E-07,0.000156261,0.000868103,TPX2
ENSG00000107281,ENSG00000107281.9,2.185754542,0.012882923,1.008969751,7.89E-07,0.000164052,0.000868103,NPDC1
ENSG00000141622,ENSG00000141622.13,2.264538357,-0.01257495,0.991321585,8.01E-07,0.00016604,0.000868103,ARK2C
ENSG00000163687,ENSG00000163687.13,0.066562558,-0.011521937,0.992045408,7.45E-07,0.000156583,0.000868103,DNASE1L3
ENSG00000164611,ENSG00000164611.12,2.135759018,0.007752152,1.005387845,7.15E-07,0.000151337,0.000868103,PTTG1
ENSG00000253276,ENSG00000253276.2,4.922652059,0.006320515,1.004390658,6.81E-07,0.000145378,0.000868103,CCDC71L
ENSG00000011426,ENSG00000011426.10,1.504404862,0.00994739,1.006918831,9.39E-07,0.000188668,0.00090012,ANLN
ENSG00000072840,ENSG00000072840.12,1.089426789,0.011306919,1.007868151,1.21E-06,0.000229385,0.00090012,EVC
ENSG00000076043,ENSG00000076043.9,4.358489399,0.005411836,1.003758243,9.34E-07,0.000187918,0.00090012,REXO2
ENSG00000100568,ENSG00000100568.10,6.802265873,0.006106974,1.004242004,1.07E-06,0.000208263,0.00090012,VTI1B
ENSG00000104219,ENSG00000104219.12,6.79064368,0.006139111,1.004264374,1.25E-06,0.000234937,0.00090012,ZDHHC2
ENSG00000104626,ENSG00000104626.14,4.636416619,0.004264555,1.002960337,1.15E-06,0.000220155,0.00090012,ERI1
ENSG00000124107,ENSG00000124107.5,2.944096277,0.015005049,1.010454983,1.09E-06,0.000211773,0.00090012,SLPI
ENSG00000124490,ENSG00000124490.13,-1.150279402,0.013143041,1.009151685,8.71E-07,0.00017773,0.00090012,CRISP2
ENSG00000132386,ENSG00000132386.10,1.689106798,-0.010268382,0.992907769,1.08E-06,0.000210937,0.00090012,SERPINF1
ENSG00000133069,ENSG00000133069.15,4.95246927,0.015422856,1.010747655,1.22E-06,0.000231334,0.00090012,TMCC2
ENSG00000143545,ENSG00000143545.8,0.473087876,0.010098878,1.007024566,1.12E-06,0.000216142,0.00090012,RAB13
ENSG00000147889,ENSG00000147889.17,1.653117629,0.007461253,1.005185143,1.02E-06,0.000201404,0.00090012,CDKN2A
ENSG00000150045,ENSG00000150045.11,4.806971678,-0.011319948,0.992184313,9.61E-07,0.000192116,0.00090012,KLRF1
ENSG00000156381,ENSG00000156381.8,3.986556935,0.015306976,1.010666473,1.05E-06,0.000206145,0.00090012,ANKRD9
ENSG00000164379,ENSG00000164379.6,-1.801099015,0.008460717,1.005881752,9.68E-07,0.000193349,0.00090012,FOXQ1
ENSG00000166510,ENSG00000166510.13,-0.710275161,0.014106635,1.009825935,1.01E-06,0.000199107,0.00090012,CCDC68
ENSG00000198216,ENSG00000198216.10,3.60357939,0.012725495,1.008859657,1.13E-06,0.000217763,0.00090012,CACNA1E
ENSG00000223609,ENSG00000223609.7,-1.555397379,0.013437665,1.009357793,1.11E-06,0.000214325,0.00090012,HBD
ENSG00000224020,ENSG00000224020.1,0.783191286,-0.011608151,0.991986127,1.22E-06,0.000231198,0.00090012,MIR181A2HG
ENSG00000271447,ENSG00000271447.5,0.01371345,-0.01355321,0.99064962,1.25E-06,0.000234363,0.00090012,MMP28
ENSG00000003096,ENSG00000003096.14,0.205999654,-0.009520119,0.993422881,1.82E-06,0.000307553,0.000969748,KLHL13
ENSG00000008952,ENSG00000008952.16,7.056388944,0.007613591,1.005291289,1.41E-06,0.000257355,0.000969748,SEC62
ENSG00000085832,ENSG00000085832.16,7.663804073,0.002544247,1.001765093,1.79E-06,0.0003041,0.000969748,EPS15
ENSG00000104447,ENSG00000104447.12,6.661388704,0.003579506,1.002484205,1.79E-06,0.000304779,0.000969748,TRPS1
ENSG00000112062,ENSG00000112062.10,8.841335402,0.006067281,1.004214374,1.74E-06,0.000298039,0.000969748,MAPK14
ENSG00000112077,ENSG00000112077.15,2.446533418,0.013011717,1.009059829,1.60E-06,0.000281116,0.000969748,RHAG
ENSG00000112182,ENSG00000112182.14,5.771498668,-0.008601749,0.994055461,1.78E-06,0.000303868,0.000969748,BACH2
ENSG00000120265,ENSG00000120265.16,5.572053606,0.004709076,1.003269416,1.32E-06,0.000244042,0.000969748,PCMT1
ENSG00000121417,ENSG00000121417.13,5.256443934,-0.00310811,0.997847942,1.72E-06,0.000295811,0.000969748,ZNF211
ENSG00000136048,ENSG00000136048.13,4.332398633,0.005864724,1.00407339,1.59E-06,0.000279957,0.000969748,DRAM1
ENSG00000138496,ENSG00000138496.16,7.56143392,0.008209095,1.005706331,1.76E-06,0.000301355,0.000969748,PARP9
