geneID,geneID2,base_mean,coeff_log2,coeff_natural,pvalue,qval,FDR,gene_symbol
ENSG00000102780,ENSG00000102780.16,5.481236978,0.008082543,1.005618115,1.05E-06,0.000100646,0.000561205,DGKH
ENSG00000123570,ENSG00000123570.3,0.52236509,-0.014283288,0.990148427,1.00E-06,9.64E-05,0.000561205,RAB9B
ENSG00000136147,ENSG00000136147.17,6.007489171,0.006627498,1.004604399,1.07E-06,0.000102005,0.000561205,PHF11
ENSG00000143753,ENSG00000143753.12,6.038784434,0.005858039,1.004068738,1.11E-06,0.000105217,0.000561205,DEGS1
ENSG00000164488,ENSG00000164488.11,-1.942275966,-0.008477035,0.994141396,1.17E-06,0.000109325,0.000561205,DACT2
ENSG00000170955,ENSG00000170955.9,-0.530277823,0.022070062,1.015415412,1.16E-06,0.000108553,0.000561205,CAVIN3
ENSG00000185499,ENSG00000185499.16,-1.20618362,0.015808904,1.011018155,1.15E-06,0.000107847,0.000561205,MUC1
ENSG00000210082,ENSG00000210082.2,7.904067938,0.018123195,1.012641275,1.18E-06,0.000109982,0.000561205,MT-RNR2
ENSG00000233038,ENSG00000233038.5,3.937066796,-0.017077806,0.988232354,1.05E-06,0.000100353,0.000561205,PTPRN2-AS1
ENSG00000102878,ENSG00000102878.16,0.094009485,0.01749706,1.012201881,1.40E-06,0.000127512,0.00073839,HSF4
ENSG00000132170,ENSG00000132170.19,-0.413154694,0.018048639,1.012588945,1.28E-06,0.000118351,0.00073839,PPARG
ENSG00000132357,ENSG00000132357.13,4.357955727,0.009640342,1.006704551,1.35E-06,0.000123367,0.00073839,CARD6
ENSG00000134248,ENSG00000134248.13,4.698252483,0.007255391,1.005041721,1.48E-06,0.000133176,0.00073839,LAMTOR5
ENSG00000134317,ENSG00000134317.17,1.789830933,-0.015680336,0.989190071,1.36E-06,0.000124618,0.00073839,GRHL1
ENSG00000139651,ENSG00000139651.10,6.672796174,-0.004308154,0.997018269,1.49E-06,0.000134303,0.00073839,ZNF740
ENSG00000145687,ENSG00000145687.16,6.044699149,-0.006255878,0.995673144,1.42E-06,0.000129087,0.00073839,SSBP2
ENSG00000159714,ENSG00000159714.10,0.180041021,-0.01663695,0.988534382,1.35E-06,0.000123756,0.00073839,ZDHHC1
ENSG00000170571,ENSG00000170571.11,7.906607745,0.008150181,1.005665262,1.22E-06,0.000113771,0.00073839,EMB
ENSG00000176533,ENSG00000176533.12,3.02025943,-0.013852271,0.990444286,1.21E-06,0.000112543,0.00073839,GNG7
ENSG00000188649,ENSG00000188649.12,2.645593809,0.01407991,1.009807229,1.45E-06,0.000131358,0.00073839,CC2D2B
ENSG00000204923,ENSG00000204923.3,2.882074642,0.007003914,1.004866547,1.35E-06,0.000123735,0.00073839,FBXO48
ENSG00000232125,ENSG00000232125.2,0.24400182,-0.020341559,0.985999241,1.33E-06,0.000122182,0.00073839,DYTN
ENSG00000235531,ENSG00000235531.9,1.817706545,0.019417399,1.013550097,1.18E-06,0.000110165,0.00073839,MSC-AS1
ENSG00000265888,ENSG00000265888.1,-1.486524544,0.015679981,1.010927812,1.41E-06,0.000128405,0.00073839,DSCAS
ENSG00000008083,ENSG00000008083.13,7.118847528,-0.009133642,0.99368904,3.70E-06,0.0002917,0.001423335,JARID2
