geneID,geneID2,base_mean,coeff_log2,coeff_natural,pvalue,qval,FDR,gene_symbol
ENSG00000150403,ENSG00000150403.17,6.097396436,0.286490721,1.219669884,1.17E-09,4.90E-08,4.99E-07,TMCO3
ENSG00000156381,ENSG00000156381.8,3.979852578,0.921376849,1.893921913,9.94E-10,4.24E-08,4.99E-07,ANKRD9
ENSG00000158715,ENSG00000158715.5,2.343329012,-0.978510587,0.507503407,1.22E-09,5.12E-08,4.99E-07,SLC45A3
ENSG00000168710,ENSG00000168710.17,6.33333506,-0.152263584,0.899837512,8.55E-10,3.69E-08,4.99E-07,AHCYL1
ENSG00000174243,ENSG00000174243.9,6.874550471,-0.275469458,0.826181432,8.82E-10,3.80E-08,4.99E-07,DDX23
ENSG00000176407,ENSG00000176407.17,6.394977014,0.167064341,1.122771494,1.18E-09,4.96E-08,4.99E-07,KCMF1
ENSG00000178752,ENSG00000178752.15,-1.104184901,0.958843498,1.943751108,8.99E-10,3.86E-08,4.99E-07,ERFE
ENSG00000179409,ENSG00000179409.10,4.44664666,-0.347450914,0.785971599,1.17E-09,4.93E-08,4.99E-07,GEMIN4
ENSG00000179639,ENSG00000179639.10,4.289595485,-0.858300575,0.551601936,6.99E-10,3.06E-08,4.99E-07,FCER1A
ENSG00000182983,ENSG00000182983.14,1.145028299,-0.702797923,0.61437954,1.17E-09,4.91E-08,4.99E-07,ZNF662
ENSG00000196470,ENSG00000196470.11,5.044509903,-0.229703084,0.852810388,1.08E-09,4.59E-08,4.99E-07,SIAH1
ENSG00000196781,ENSG00000196781.14,3.347431227,-0.487498363,0.713260822,9.83E-10,4.20E-08,4.99E-07,TLE1
ENSG00000197301,ENSG00000197301.7,0.664202509,0.583863669,1.498857957,1.09E-09,4.59E-08,4.99E-07,HMGA2-AS1
ENSG00000198695,ENSG00000198695.2,0.218282708,-0.871425193,0.546606608,1.10E-09,4.66E-08,4.99E-07,MT-ND6
ENSG00000198829,ENSG00000198829.6,1.138853795,0.69858599,1.622913368,1.06E-09,4.51E-08,4.99E-07,SUCNR1
ENSG00000204252,ENSG00000204252.13,5.339516631,-0.579623928,0.669138181,1.03E-09,4.37E-08,4.99E-07,HLA-DOA
ENSG00000225889,ENSG00000225889.7,4.997042065,-0.559230195,0.678664194,1.05E-09,4.44E-08,4.99E-07,
ENSG00000229961,ENSG00000229961.2,1.172494349,-0.732954935,0.601670307,1.28E-09,5.34E-08,4.99E-07,
ENSG00000232112,ENSG00000232112.3,4.141324365,0.616822303,1.533493767,1.19E-09,4.99E-08,4.99E-07,TMA7
ENSG00000250510,ENSG00000250510.7,2.34138388,-0.749329621,0.594879917,7.65E-10,3.33E-08,4.99E-07,GPR162
ENSG00000261596,ENSG00000261596.2,3.382358875,0.388176047,1.308737763,1.06E-09,4.49E-08,4.99E-07,
